org_id,icnptso_code,icnptso_code_probability,icnptso_code_source
GB-COH-05846858,D90,0.793,ml_model
GB-COH-05849189,F20,0.622,ml_model
GB-COH-05849223,G12,0.992,ml_model
GB-COH-05850293,G14,0.384,ml_model
GB-COH-05850309,F20,0.996,ml_model
GB-COH-05851844,H10,0.839,ml_model
GB-COH-05854390,C12,0.82,ml_model
GB-COH-05856257,B20,0.366,ml_model
GB-COH-05856314,H90,0.9,ml_model
GB-COH-05862214,F20,0.988,ml_model
GB-COH-05864014,F20,1.0,ml_model
GB-COH-05865325,F20,0.962,ml_model
GB-COH-05865361,A90,0.499,ml_model
GB-COH-05865379,D20,0.312,ml_model
GB-COH-05865390,D13,0.999,ml_model
GB-COH-05867016,J10,0.463,ml_model
GB-COH-05868320,F20,0.476,ml_model
GB-COH-05868358,A11,1.0,ml_model
GB-COH-05870025,G14,0.229,ml_model
GB-COH-05870047,F20,0.573,ml_model
GB-COH-05873514,F20,0.987,ml_model
GB-COH-05873558,H10,0.975,ml_model
GB-COH-05874266,A30,0.983,ml_model
GB-COH-05874318,B31,0.975,ml_model
GB-COH-05877128,H10,0.982,ml_model
GB-COH-05877169,F20,1.0,ml_model
GB-COH-05877596,D11,0.853,ml_model
GB-COH-05879359,G12,0.851,ml_model
GB-COH-05880607,C12,1.0,ml_model
GB-COH-05880668,A11,1.0,ml_model
GB-COH-05881625,B11,0.546,ml_model
GB-COH-05881667,H90,0.433,ml_model
GB-COH-05881699,A11,1.0,ml_model
GB-COH-05881718,D20,0.903,ml_model
GB-COH-05883640,F20,0.937,ml_model
GB-COH-05886593,B31,1.0,ml_model
GB-COH-05887504,H10,0.989,ml_model
GB-COH-05887578,L50,0.999,ml_model
GB-COH-05887713,F20,1.0,ml_model
GB-COH-05888126,F20,0.696,ml_model
GB-COH-05888474,D13,0.568,ml_model
GB-COH-05889013,B31,0.475,ml_model
GB-COH-05889415,B31,0.943,ml_model
GB-COH-05890312,D30,0.369,ml_model
GB-COH-05891960,A21,0.999,ml_model
